id,url,header,address,area,rooms,bathrooms,garages,amenities,price,condo,crawler,crawled_at
2492754120,https://www.vivareal.com.br/imovel/apartamento-3-quartos-praia-brava-bairros-florianopolis-com-garagem-90m2-aluguel-RS950-id-2492754120/,"Apartamento com 3 Quartos para Aluguel, 90m²","Praia Brava, Florianópolis - SC",90,3 Quartos,2 Banheiros,1 Vaga,"Mobiliado
Churrasqueira
TV a cabo",R$ 950 /dia,,Florianópolis,2021-05-24 01:53
2520889607,https://www.vivareal.com.br/imovel/apartamento-3-quartos-coqueiros-bairros-florianopolis-com-garagem-83m2-aluguel-RS2900-id-2520889607/,"Apartamento com 3 Quartos para Aluguel, 83m²","Rua Doutor Abel Capela - Coqueiros, Florianópolis - SC",83,3 Quartos,2 Banheiros,2 Vagas,"Elevador
Piscina",R$ 2.900 /mês,R$ 800,Florianópolis,2021-05-24 01:53
2517746390,https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-florianopolis-com-garagem-67m2-aluguel-RS2000-id-2517746390/,"Apartamento com 2 Quartos para Aluguel, 67m²","Rua Hermann Blumenau - Centro, Florianópolis - SC",67,2 Quartos,3 Banheiros,1 Vaga,Elevador,R$ 2.000 /mês,R$ 806,Florianópolis,2021-05-24 01:53
2491061004,https://www.vivareal.com.br/imovel/apartamento-1-quartos-centro-bairros-florianopolis-com-garagem-39m2-aluguel-RS3500-id-2491061004/,"Apartamento com Quarto para Aluguel, 39m²","Avenida Mauro Ramos - Centro, Florianópolis - SC",39,1 Quarto,1 Banheiro,1 Vaga,"Elevador
Área de serviço
Salão de festas
Playground
Academia",R$ 3.500 /mês,R$ 450,Florianópolis,2021-05-24 01:53
2492753934,https://www.vivareal.com.br/imovel/apartamento-2-quartos-canasvieiras-bairros-florianopolis-com-garagem-70m2-aluguel-RS400-id-2492753934/,"Apartamento com 2 Quartos para Aluguel, 70m²","Canasvieiras, Florianópolis - SC",70,2 Quartos,1 Banheiro,1 Vaga,Conexão à internet,R$ 400 /dia,,Florianópolis,2021-05-24 01:53
2492749761,https://www.vivareal.com.br/imovel/apartamento-3-quartos-cachoeira-do-bom-jesus-bairros-florianopolis-com-garagem-135m2-aluguel-RS1700-id-2492749761/,"Apartamento com 3 Quartos para Aluguel, 135m²","Cachoeira do Bom Jesus, Florianópolis - SC",135,3 Quartos,1 Banheiro,2 Vagas,"Piscina
Churrasqueira
Playground
TV a cabo
Conexão à internet",R$ 1.700 /dia,,Florianópolis,2021-05-24 01:53
2520787899,https://www.vivareal.com.br/imovel/apartamento-2-quartos-rio-tavares-bairros-florianopolis-com-garagem-55m2-aluguel-RS2000-id-2520787899/,"Apartamento com 2 Quartos para Aluguel, 55m²","Servidão Paulo Simão Martins - Rio Tavares, Florianópolis - SC",55,2 Quartos,1 Banheiro,1 Vaga,,R$ 2.000 /mês,,Florianópolis,2021-05-24 01:53
2518802374,https://www.vivareal.com.br/imovel/apartamento-2-quartos-canasvieiras-bairros-florianopolis-com-garagem-60m2-aluguel-RS400-id-2518802374/,"Apartamento com 2 Quartos para Aluguel, 60m²","Rodovia Tertuliano Brito Xavier, 1520 - Canasvieiras, Florianópolis - SC",60,2 Quartos,1 Banheiro,1 Vaga,"Área de serviço
Churrasqueira
Ar-condicionado
Cozinha",R$ 400 /dia,,Florianópolis,2021-05-24 01:53
2520043904,https://www.vivareal.com.br/imovel/apartamento-2-quartos-coqueiros-bairros-florianopolis-com-garagem-70m2-aluguel-RS1230-id-2520043904/,"Apartamento com 2 Quartos para Aluguel, 70m²","Rua Capitão Euclides de Castro, 408 - Coqueiros, Florianópolis - SC",70,2 Quartos,1 Banheiro,1 Vaga,"Área de serviço
Churrasqueira
Varanda
Aquecimento
Próximo a transporte público",R$ 1.230 /mês,,Florianópolis,2021-05-24 01:53
2518731622,https://www.vivareal.com.br/imovel/apartamento-2-quartos-santinho-bairros-florianopolis-com-garagem-65m2-aluguel-RS2600-id-2518731622/,"Apartamento com 2 Quartos para Aluguel, 65m²","Servidão Dejalma Manoel Jorge - Santinho, Florianópolis - SC",65,2 Quartos,2 Banheiros,1 Vaga,"Mobiliado
Varanda
Ar-condicionado
Armário na cozinha
Armário embutido",R$ 2.600 /mês,R$ 50,Florianópolis,2021-05-24 01:53
